item_id,type,title,description,deadline,time,person,priority,location,notes,source_message_id
EVENT_001,event,Family dinner,"For today: Calendar update: family dinner, 2026-09-19 at 10:00, the library.",2026-09-19,10:00,,medium,the library,[],MSG_0001
TASK_001,task,Review the privacy checklist,Can you review the privacy checklist before 2026-09-09?,2026-09-09,,,medium,,[],MSG_0002
EVENT_002,event,Mentor catch-up,FYI: Reminder: mentor catch-up happens on 2026-09-16 at 11:00 in the city clinic.,2026-09-16,11:00,,medium,the city clinic,[],MSG_0003
TASK_002,task,Reply to the client email,For today: Please reply to the client email by 2026-09-04.,2026-09-04,,,high,,[],MSG_0007
TASK_003,task,Pay the electricity bill,Can you help? Don't forget to pay the electricity bill; deadline is 2026-09-09.,2026-09-09,,,high,,[],MSG_0010
EVENT_003,event,Internship orientation,"Just checking-Please join the internship orientation on 2026-09-18, 13:00 at Conference Room 2.",2026-09-18,13:00,,medium,Conference Room 2,[],MSG_0011
TASK_004,task,Renew the library book,Can you help? I need you to renew the library book by 2026-09-08.,2026-09-08,,,high,,[],MSG_0017
TASK_005,task,Review the model results,Can you help? I need you to review the model results by 2026-09-03.,2026-09-03,,,high,,[],MSG_0019
EVENT_004,event,Team stand-up,"Hi, Calendar update: team stand-up, 2026-09-04 at 15:00, the college auditorium.",2026-09-04,15:00,,high,the college auditorium,[],MSG_0023
TASK_006,task,Confirm the interview slot,Please note: Please confirm the interview slot by 2026-09-05.,2026-09-05,,,high,,[],MSG_0027
TASK_007,task,Email the signed document,For today: Don't forget to email the signed document; deadline is 2026-09-04.,2026-09-04,,,high,,[],MSG_0028
TASK_008,task,Update the project tracker,Can you update the project tracker before 2026-09-04?,2026-09-04,,,high,,[],MSG_0031
TASK_009,task,Upload the assignment,Important: Don't forget to upload the assignment; deadline is 2026-09-09.,2026-09-09,,,high,,[],MSG_0032
EVENT_005,event,Internship orientation,"Please note: Please join the internship orientation on 2026-09-18, 9:00 at Conference Room 2.",2026-09-18,09:00,,medium,Conference Room 2,[],MSG_0034
TASK_010,task,Complete the onboarding form,For today: Complete the onboarding form is due on 2026-09-10.,2026-09-10,,,medium,,[],MSG_0035
EVENT_006,event,Study-group session,"Please join the study-group session on 2026-09-13, 12:00 at Google Meet.",2026-09-13,12:00,,medium,Google Meet,[],MSG_0036
EVENT_007,event,Review (tentative),One more thing: The review could be Friday afternoon.,unresolved,,,low,,"[""Relative time phrase 'friday' cannot be resolved to a concrete date without external context.""]",MSG_0037
TASK_011,task,Update the project tracker,Quick update: Can you update the project tracker before 2026-09-08?,2026-09-08,,,high,,[],MSG_0038
TASK_012,task,Review the file before the meeting,"For today: If possible, review the file before the meeting.",,,,low,,[],MSG_0041
EVENT_008,event,Client discussion,For today: The client discussion is scheduled for 2026-09-12 at 11:00 in Meeting Room A.,2026-09-12,11:00,,medium,Meeting Room A,[],MSG_0042
EVENT_009,event,Family dinner,"Quick update: Calendar update: family dinner, 2026-09-04 at 11:00, the college auditorium.",2026-09-04,11:00,,high,the college auditorium,[],MSG_0043
TASK_013,task,Complete the Python exercise,Just checking-Please complete the Python exercise by 2026-09-09.,2026-09-09,,,high,,[],MSG_0044
TASK_014,task,Complete the onboarding form,Important: Complete the onboarding form is due on 2026-09-07.,2026-09-07,,,high,,[],MSG_0045
TASK_015,task,Call the service centre,For today: Don't forget to call the service centre; deadline is 2026-09-09.,2026-09-09,,,high,,[],MSG_0046
EVENT_010,event,Product demo,One more thing: The product demo is scheduled for 2026-09-07 at 10:00 in Zoom.,2026-09-07,10:00,,high,Zoom,[],MSG_0049
EVENT_011,event,Doctor appointment,Important: Reminder: doctor appointment happens on 2026-09-16 at 15:00 in the city clinic.,2026-09-16,15:00,,high,the city clinic,[],MSG_0051
EVENT_012,event,Review (tentative),Just checking-The review could be Friday afternoon.,unresolved,,,low,,"[""Relative time phrase 'friday' cannot be resolved to a concrete date without external context.""]",MSG_0054
EVENT_013,event,Client discussion,The client discussion is scheduled for 2026-09-07 at 14:00 in Zoom.,2026-09-07,14:00,,high,Zoom,[],MSG_0055
TASK_016,task,Call Maya,Please note: Please call Maya when you are free.,,,Maya,low,,[],MSG_0056
TASK_017,task,Review the privacy checklist,Quick update: Can you review the privacy checklist before 2026-09-04?,2026-09-04,,,high,,[],MSG_0058
TASK_018,task,Complete the onboarding form,Quick update: Complete the onboarding form is due on 2026-09-08.,2026-09-08,,,high,,[],MSG_0060
EVENT_014,event,AI workshop,"Please join the AI workshop on 2026-09-08, 15:00 at Conference Room 2.",2026-09-08,15:00,,high,Conference Room 2,[],MSG_0062
TASK_019,task,Renew the library book,For today: I need you to renew the library book by 2026-09-07.,2026-09-07,,,high,,[],MSG_0063
TASK_020,task,Email the signed document,One more thing: Don't forget to email the signed document; deadline is 2026-09-07.,2026-09-07,,,high,,[],MSG_0065
EVENT_015,event,Project review,Can you help? The project review is scheduled for 2026-09-02 at 9:00 in Meeting Room A.,2026-09-02,09:00,,medium,Meeting Room A,[],MSG_0066
EVENT_016,event,AI workshop,"FYI: Please join the AI workshop on 2026-09-13, 16:00 at Google Meet.",2026-09-13,16:00,,medium,Google Meet,[],MSG_0067
TASK_021,task,Renew the library book,Quick update: I need you to renew the library book by 2026-09-05.,2026-09-05,,,high,,[],MSG_0072
EVENT_017,event,Product demo,FYI: The product demo is scheduled for 2026-09-17 at 12:00 in Zoom.,2026-09-17,12:00,,medium,Zoom,[],MSG_0077
TASK_022,task,Renew the library book,Important: I need you to renew the library book by 2026-09-04.,2026-09-04,,,high,,[],MSG_0083
TASK_023,task,Finish the test cases,One more thing: Can you finish the test cases before 2026-09-08?,2026-09-08,,,high,,[],MSG_0088
TASK_024,task,Call the service centre,Just checking-Don't forget to call the service centre; deadline is 2026-09-04.,2026-09-04,,,high,,[],MSG_0089
EVENT_018,event,Placement briefing,"Just checking-Calendar update: placement briefing, 2026-09-04 at 11:00, the college auditorium.",2026-09-04,11:00,,high,the college auditorium,[],MSG_0097
EVENT_019,event,Review (tentative),Quick update: The review could be Friday afternoon.,unresolved,,,low,,"[""Relative time phrase 'friday' cannot be resolved to a concrete date without external context.""]",MSG_0098
EVENT_020,event,Sprint planning,"Hi, Reminder: sprint planning happens on 2026-09-16 at 11:00 in the city clinic.",2026-09-16,11:00,,medium,the city clinic,[],MSG_0100
TASK_025,task,Email the signed document,Don't forget to email the signed document; deadline is 2026-09-07.,2026-09-07,,,high,,[],MSG_0101
TASK_026,task,Send the revised presentation,FYI: Can you send the revised presentation before 2026-09-08?,2026-09-08,,,high,,[],MSG_0102
EVENT_021,event,Technical interview,Important: Are you available for the technical interview at 16:00 on 2026-09-05? Location: the main office.,2026-09-05,16:00,,high,the main office,[],MSG_0103
