message_id,timestamp,sender,category,confidence,uncertain,reason,message_masked,is_mandatory
MSG_0001,2026-09-01 08:00:00,Meera,meeting_or_event,0.93,False,Matched calendar entry + named event 'family dinner' + date+time+location structure (sender: Meera).,"For today: Calendar update: family dinner, 2026-09-19 at 10:00, the library.",True
MSG_0002,2026-09-01 08:37:00,Ishaan,action_required,0.89,False,Matched request verb 'review' + task noun 'privacy checklist' + request 'can you' + date bound 'before 2026-09-09' (sender: Ishaan).,Can you review the privacy checklist before 2026-09-09?,True
MSG_0003,2026-09-01 09:14:00,Kabir,meeting_or_event,0.94,False,Matched reminder of an event + scheduled date phrase + named event 'mentor catch-up' + date+time+location structure (sender: Kabir).,FYI: Reminder: mentor catch-up happens on 2026-09-16 at 11:00 in the city clinic.,True
MSG_0004,2026-09-01 09:51:00,Aarav,general_information,0.8,False,Matched portal statement + supply statement (sender: Aarav).,One more thing: The training material is on the portal.,True
MSG_0005,2026-09-01 10:28:00,Aarav,sensitive_information,0.95,False,Matched sensitive value present (sender: Aarav).,"Hi, My home address is ******.",True
MSG_0006,2026-09-01 11:05:00,Meera,general_information,0.73,False,Matched status statement (sender: Meera).,Important: The laptop battery is fully charged.,True
MSG_0007,2026-09-01 11:42:00,Ananya,action_required,0.88,False,Matched request verb 'reply' + task noun 'client email' + polite request 'please' + date bound 'by 2026-09-04' (sender: Ananya).,For today: Please reply to the client email by 2026-09-04.,True
MSG_0008,2026-09-01 12:19:00,Neha,general_information,0.74,False,Matched relocation notice (sender: Neha).,Can you help? The building entrance has moved temporarily.,False
MSG_0009,2026-09-01 12:56:00,Meera,personal_information,0.9,False,Matched profile statement + emergency-contact statement (sender: Meera).,"For my profile, my emergency contact is my brother.",True
MSG_0010,2026-09-01 13:33:00,Tara,action_required,0.9,False,Matched request verb 'pay' + task noun 'electricity bill' + imperative 'don't forget' + explicit 'deadline' (sender: Tara).,Can you help? Don't forget to pay the electricity bill; deadline is 2026-09-09.,False
MSG_0011,2026-09-01 14:10:00,Ishaan,meeting_or_event,0.89,False,Matched invitation to join + named event 'internship orientation' + date+time+location structure (sender: Ishaan).,"Just checking-Please join the internship orientation on 2026-09-18, 13:00 at Conference Room 2.",False
MSG_0012,2026-09-01 14:47:00,Neha,general_information,0.52,True,No specific classification signal matched; the message reads as an informational statement.,FYI: I will send the login details separately.,True
